District,Latitude ,Longitude
North and Middle Andaman,12.5609802,92.8178291
South Andaman,11.7400867,92.6586401
Anantapur,14.6818877,77.6005911
Chittoor,13.217176,79.1003289
East Godavari,17.32125,82.0407137
Guntur,16.3066525,80.4365402
Krishna,16.6099914,80.7214417
Kurnool,15.8281257,78.0372792
Other State,38.958011,-94.7243761
Prakasam,15.348463,79.560344
S.P.S. Nellore,14.4407918,79.9685671
Srikakulam,18.2949165,83.8938018
Visakhapatnam,17.6868159,83.2184815
Vizianagaram,18.1066576,83.3955506
West Godavari,16.9174181,81.3399414
Y.S.R. Kadapa,14.4673154,78.8242089
East Kameng,27.1876356,92.8326702
East Siang,28.1097051,95.1432068
Kra Daadi,28.2179994,94.7277528
Lepa Rada,34.2504595,-118.4338345
Lower Dibang Valley,28.1428728,95.8431018
Lower Siang,28.147254,94.7484518
Lower Subansiri,27.6169349,93.8391557
Namsai,27.6692115,95.8644018
Pakke Kessang,27.145853,93.246261
Papum Pare,27.1719019,93.7029002
Upper Dibang Valley,28.8128767,96.1526985
Upper Siang,28.7588781,95.2266675
Upper Subansiri,27.786802,94.3359635
West Kameng,27.3427633,92.302446
West Siang,28.147254,94.7484518
Airport Quarantine,41.9747183,-87.8904324
Biswanath,26.7266632,93.1478514
Bongaigaon,26.5030072,90.5535724
Dhemaji,27.4811106,94.5572847
Dhubri,26.0206982,89.9743463
Dibrugarh,27.4728327,94.9119621
Dima Hasao,25.3478004,93.0175712
Goalpara,26.1641342,90.6251541
Golaghat,26.5238515,93.962337
Hailakandi,24.6811018,92.5638055
Jorhat,26.7509207,94.2036696
Kamrup Metropolitan,26.0794316,91.637215
Karbi Anglong,25.8456764,93.4377584
Karimganj,24.8649128,92.3591531
Kokrajhar,26.4014362,90.266699
Lakhimpur,27.2063587,94.1513764
Majuli,0,0
Morigaon,0,0
Nagaon,0,0
Nalbari,26.4446185,91.4410527
Other State,37.09024,-95.712891
Sivasagar,26.9826098,94.6424521
Sonitpur,26.6738851,92.8577105
South Salmara Mankachar,25.5354761,89.8622017
Tinsukia,27.4885539,95.355758
Udalguri,26.7460177,92.0959429
West Karbi Anglong,25.8456764,93.4377584
Araria,0,0
Arwal,0,0
Aurangabad,24.7486689,84.3807025
Banka,24.8874179,86.919838
